str1,str2
\overrightarrow{A D}=,A C=4
"B=\{1,2,3\}",\ln |x-y|<0
\frac{1}{12},\boldsymbol{F}_{1}
x \in,z=
P_{4},\frac{16}{3}
\triangle A B C,\triangle A B C
x^{2} \in,z=
30^{\circ},\left\{a_{n}\right\}
S_{n},\left\{a_{n}\right\}
\triangle O P Q,\triangle A B C
75 \ln 2,"(-\infty, a)"
\sqrt{3},\sqrt{3}+1
\varepsilon=0.025,\ln |x-y|<0
"\{3,4\}","(0, a)"
a \perp b,c<\frac{1}{4}
|a-b|,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
8 \cos \alpha=5,\ln |x-y|<0
\frac{9}{m},\frac{16}{3}
12,\sqrt{3}
g(x),y=\sin x)
a_{n+1},\left\{a_{n}\right\}
"[-1,3]","[0,1]"
\triangle M A B,\triangle A B C
"A, B",\boldsymbol{F}_{1}
a / / b,m / / n
(\ln 2)^{2},"(0,1)"
1+i,A B=2
B-P C-E,\ln |x-y|<0
\frac{n}{m}=,-\frac{\pi}{3}
x+y,\left\{a_{n}\right\}
a_{2}+,\left\{a_{n}\right\}
\alpha,\boldsymbol{e}_{1}
"(-\infty,-1]",\triangle B P Q
a_{m}=2,\left\{a_{n}\right\}
"a, b",\left\{a_{n}\right\}
T_{n},T_{n}
-\frac{4}{3},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
A B=B C=2,y=\sin x
a_{1}=-9,"(0,1)"
\overrightarrow{O M},\left\{a_{n}\right\}
f(x),f(x)
0<\lambda_{1}<,A C=4
\left\{b_{n}\right\},\left\{a_{n}\right\}
x>0,>0
"(-\infty,-2)","(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"\{-2,3\}",\left\{a_{n}\right\}
"\alpha, \beta",S_{5}
D: x^{2},\left\{a_{n}\right\}
f^{\prime}(x),f(x)
x<0,z=
O T,"\{2, a_{n"
-6,\sqrt{3}+1
S_{n},\frac{16}{3}
x^{2},-\frac{\pi}{6}
\triangle A B C,\triangle A B C
A I E,\ln |x-y|<0
\tan 2 \theta=,\ln |x-y|<0
\{x \mid x>1\},y)
z=2 x-y,\left\{a_{n}\right\}
a \perp b,\sqrt{3}+1
x^{2}=y,a_{i}=
n=n+2,c<\frac{1}{4}
f(x+a)<,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
\overrightarrow{C B}=,\triangle B C C
\overrightarrow{O B},(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
h(x)+k=0,y=\sin x
A \cap B,A C \perp B C
x=3,S_{5}
a_{2}+,a_{n}=
F_{2},T_{n}
a_{1}=-9,a_{i}=
0<a<2,y)
"x \in[-2,1]",\ln |x-y|<0
y=x^{4},c<\frac{1}{4}
\sqrt{3},\sqrt{3}
p=p,\left\{a_{n}\right\}
A B,\sqrt{3}
a / / M,m / / n
B D,"[60, B C"
"N(0,1)","(-\infty, a)"
i>3,\sqrt{3}
\text { d) },S_{5}
\left\{a_{n}\right\},\left\{a_{n}\right\}
M(\alpha \cdot \beta),\ln |x-y|<0
\triangle B M N,\triangle A B C
B-A C D,A C=4
C_{2},S_{5}
"(0.2,+\infty)",\ln |x-y|<0
x=\frac{\pi}{4},-\frac{\pi}{6}
f(x)=m x,\ln |x-y|<0
q^{2},c_{m}
F_{2},\left\{a_{n}
x=-2,-\frac{3}{2}
"A, D",A D_{1}
U=\mathbf{Z},T_{n}
"n=(0,1,1)",\ln |x-y|<0
-\frac{3}{2},-\frac{3}{2}
2 m-3 n=,\left\{a_{n}\right\}
A B,T_{n}
1 a+3 b=0,A C=4
S_{2},-\frac{3}{2}
\frac{1}{2},\boldsymbol{F}_{1}
"(2,0)","(-\infty, a)"
"(-\infty,-2]","(-\infty, a)"
a_{1} d<0,\ln |x-y|<0
"[1,3]",\sqrt{3}
\triangle A P B,\triangle A B C
D(\xi)=200,60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
2 \sqrt{3},\sqrt{3}
"(1, \sqrt{2})","(0,1)"
-40,A C=4
\triangle A B C,\triangle A B C
4 \sqrt{3},\sqrt{3}+1
y=f(x)-m,\ln |x-y|<0
f(x)=,"[60,70]"
\triangle M A B,\triangle A B C
B \subseteq A,A D_{1}
"[60,100]","[60,70]"
g(0)=-1,\left\{a_{n}\right\}
"A(2,1)",\left\{a_{n}\right\}
D X=,-\frac{\pi}{6}
m_{c},\left\{a_{n}\right\}
A_{i},\boldsymbol{e}_{1}
y=\sqrt{x},c<\frac{1}{4}
A B C D-,\triangle A B C
f(x),f(x)
f(3)<5,\triangle B P Q
y=x^{2}-x,\boldsymbol{e}_{1}
A B C,\triangle B P Q
f(x),f(x)
A B C D,"(-\infty, a)"
"[-1,0)","[1,3]"
n=k+1,\triangle B C
p \wedge q,m / / n
"(\pi, 2 \pi)",\left\{a_{n}\right\}
y=x^{2},\left\{a_{n}\right\}
m-n,\left\{a_{n}\right\}
C D \perp P B,\ln |x-y|<0
"[0,2]","[60,70]"
"(-\infty, 1]","(-\infty, a)"
b<1,\sqrt{3}
f(0)=-1,\left\{a_{n}\right\}
"(1, \sqrt{2})",\sqrt{3}+1
O,5(_{1}
"[2,3]","(0,1)"
\sqrt{5},\sqrt{3}
\triangle A B C,\triangle A B C
g(x),(x)
P A C,\left\{a_{n}\right\}
\sqrt{2} \pi,\sqrt{3}+1
"[1,+\infty)","[0,1]"
"(1,5)","(0,1)"
c_{n},\left\{a_{n}\right\}
C_{1},S_{5}
4 x+y-3=0,x+y+8=x y
S_{n}=,a_{i}=
"E, F",\left\{a_{n}\right\}
a_{n},T_{n}
2 \sqrt{3},\sqrt{3}
\sqrt{17},\triangle B P Q
b<a<c,y+5=\sin x)
b \cdot c=,y=0
z=k x+y,\left\{a_{n}\right\}
"M(-1,1)",\left\{a_{n}\right\}
P-A B C,\ln |x-y|<0
\ln |x-y|<0,A C \perp B C
f(x),f(x)
a \cdot b=-13,A C=x
"[1, e+1]",80 \%
"A(0,-2)",60 \sim 65
\cos \theta<0,60 \sim 65
y=f(x),60 \sim 65
|\boldsymbol{b}|=2,\left\{a_{n}\right\}
"E, F","[1,3]"
C: y^{2}=,\left\{a_{n}\right\}
k_{3},\sqrt{3}
"[25,30)","(-\infty, a)"
2 \sqrt{3},\sqrt{3}+1
\bar{z},-\frac{3}{2}
\frac{3}{2},\frac{16}{3}
"(1, g(1))",60 \sim 65
a b>0,\sqrt{3}+1
\frac{16}{3},\frac{16}{3}
B-P D-A,"(-\infty, a)"
5-a,z=
f(1)=0,\ln |x-y|<0
"(0,1)","(0,1)"
\mathbf{R},F_{1}
\triangle A B C,\triangle A B C
p>0,\boldsymbol{e}_{1}
x<3\},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
y \in,S_{5}
y=,y=\sin x
2 y+1=0,\ln |x-y|<0
f(x) \geqslant 0,"(-\infty, a)"
"(5,+\infty)","(-\infty, a)"
y=f(x),y=\sin x-
a \perp \beta,S_{5}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(0,2)","(-\infty, a)"
x=\frac{\pi}{6},-\frac{\pi}{6}
\left\{a_{n}\right\},\left\{a_{n}\right\}
n=19,"[1,3]"
m \perp n,\left\{a_{n}\right\}
y^{2}=4 x,c<\frac{1}{4}
A=\frac{1}{2},c<\frac{1}{4}
"[0, \pi]","[0,1]"
a \neq 1,A C=4
<100,\triangle A B C
z=x+y i,\left\{a_{n}\right\}
-\frac{3}{2},-\frac{3}{2}
"[0,1]","[0,1]"
\beta \in,-\frac{\pi}{6}
"x>0, y>0",60 \sim 65
q^{3}=-2,c<\frac{1}{4}
\xi,T_{n}
\frac{1}{5},\frac{16}{3}
a+b+c>0,\ln |x-y|<0
f(x),f(x)
x+y-2=0,y=\sin x
A_{1},\boldsymbol{e}_{1}
\cos B=,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(2,0)","(-\infty, a)"
f(x),f(x)
f(x),-\frac{3}{2}
"A(11,2)","(-\infty, a)"
-3<t<1,c<\frac{1}{4}
f(x),f(x)
a_{1}=1,A B=2
"[40,50)","[60,70]"
x \in \mathbf{R},\left\{a_{n}\right\}
"(\pi, 2 \pi)",\left\{a_{n}\right\}
\sqrt{5},\sqrt{3}
y=x^{3},a_{i}=
f(x)>0,"(-\infty, a)"
2^{\prime \prime},\frac{16}{3}
y^{2}=4 x,c<\frac{1}
\frac{1}{2},\frac{1}{3}
\triangle A B C,\triangle A B C
"(1,3)","(0, a)"
"(100,110]",\ln |x-y|<0
|M N|,A C=4
|O P|,"(-\infty, a)"
A B C D,\triangle B C C
\left\{S_{n}\right\},\left\{a_{n}\right\}
a_{1}>1,T_{n}
m \mid n,A C \perp B C
a+2 b=2,\sqrt{3}+1
y=x,-\frac{\pi}{6}
\frac{\pi}{6},\frac{16}{3}
\overrightarrow{A B},\frac{16}{3}
y=f(x),(x)
f(x),f(x)
a_{4}+6,\left\{a_{n}\right\}
B C \perp A D,\triangle A B C
"A(0,2)",\ln |x-y|<0
C_{2}: \rho=,\left\{a_{n}\right\}
\frac{5}{3},\frac{16}{3}
x=1,A D_{1}
"(-4,2]",\left\{a_{n}\right\}
0<a<1,A B=2
"(-\infty, 1]",a_{i}=
x+y-2=0,a_{n}\right\}
a \cdot b<3,\left\{a_{n}\right\}
2 \sqrt{5},\sqrt{3}+1
c=,z=
\sin 2 \theta,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
"A(2,",a_{n}\right\}
\sqrt{3},\sqrt{3}+1
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
2+\sqrt{3},\left\{a_{n}\right\}
S=S+i,\triangle B P Q
f(x),f(x)
0 B,5(3+\sqrt{3})
\left.y_{2}\right),A C=4
x-1 \geqslant 0,c<\frac{1}{4}
E F G H,"[60,70]"
\frac{t}{2}<0,-\frac{\pi}{6}
"x, y",y)
"\{1,5\}",\left\{a_{n}\right\}
S_{1}=,\sqrt{3}+1
f(x),f(x)
0.1 \%,"(0,1)"
y=,z=x
|P A|,(\rho \geqslant 0)
"C(-2,-1)",\triangle B C=
>0),"(0,1)"
f(-1)=,c<\frac{1}
"[0,+\infty)",\ln |x-y|<0
"F(3,",\left\{a_{n}\right\}
\triangle A B C,\triangle B P Q
T_{n},\boldsymbol{F}_{1}
"(0,2)","(0,1)"
\triangle I) E F,\triangle A B C
\text { I) },(\rho \geqslant 0)
-\frac{1}{5},-\frac{\pi}{6}
x+4 y=40,60 \sim 65
|\varphi|,\boldsymbol{e}_{1}
\int(n),60 \sim 65
\triangle M P Q,\triangle A B C
x \in(0,60 \sim 65
"\{1,2\}","(-\infty, a)"
"(0,3]","(0,1)"
b(a \neq b),60 \sim 65
x>0,>0
\triangle A B C,\triangle A B C
\frac{1}{3},\frac{\pi}{3}
f\left(x_{1}\right)=,(x)
M \cap N=,A C=4
\triangle A B C,\triangle A B C
y>0,y=\sin x
\leqslant,-\frac{3}{2}
2 x+y-4=0,\ln |x-y|<0
b<c<a,\ln |x-y|<0
\frac{1}{3},\frac{1}{3}
2 \sqrt{3},T_{ }
\triangle A B C,\triangle A B C
x_{1},S_{5}
"1, f(0)=",\ln |x-y|<0
m+n=,A C=4
b<c<a,\ln |x-y|<0
\triangle A B C,\triangle A B C
\frac{1}{2},\frac{1}{3}
12=0,"(0,1)"
F_{2},T_{n}
"A(-2,-3)",60 \sim 65
"(0,-\sqrt{3})","(-\infty, a)"
\frac{3}{2},\frac{16}{3}
"0,2","(0,1)"
\sin a \cos a,\ln |x-y|<0
A F_{1},\left\{a_{n}\right\}
\triangle A M N,\triangle A B C
\frac{5}{8} a,\left\{a_{n}\right\}
-i,\left\{a_{n}\right\}
a>b>c>1,\triangle B P Q
\triangle A B C,\triangle A B C
\frac{10}{93},\frac{16}{3}
\beta,\frac{16}{3}
6 x+1,c<\frac{1}{4}
v,\boldsymbol{e}_{1}
B D,\sqrt{3}+1
s^{2},\frac{1}{3}
a>b,\sqrt{3}+1
P A B C,\triangle B C C
R_{0}=1+,\ln |x-y|<0
3 c,S_{5}
f(3)=3,60 \sim 65
f(x)+x-7,c<\frac{\pi}{3}
"(-\infty, 1)","(-\infty, a)"
z>x>y,a_{n}=
m \in \mathbf{R},"[1,3]"
f(x),f(x)
\frac{15}{16},\frac{16}{3}
a+b=1,A B=2
b<c<a,A C=4
x=1,"[0,1]"
g(x),f(x)
\triangle A D C,\triangle A B C
x>1,T_{n}
"\{0,1\}","(0,1)"
\{0\} \in A,\triangle B C
S_{n},\frac{16}{3}
a_{3},\left\{a_{n}\right\}
\text { () },"(-\infty, a)"
S_{n},\frac{1}{3}
S_{n},S_{5}
f(p),"(0, B)"
\triangle O A B,\triangle A B C
n(n \geqslant 2),5(3+\sqrt{3})
f(x),f(x)
"(-\infty, 6]","(0,1)"
z=x+2 y,y+5=x)
\frac{1}{2},\frac{1}{3}
a>c>b,c<\frac{1}{4}
\cos \alpha=\alpha \sin \alpha,\ln |x-y|<0
A_{1},\boldsymbol{F}_{1}
B=\frac{\pi}{3},-\frac{\pi}{6}
f(x) \geqslant 3,"(-\infty, a)"
3^{361},\ln |x-y|<0
y^{2}=4 x,c<\frac{\pi}{4}
\alpha>\frac{1}{5},-\frac{\pi}{6}
y-2=0,\ln |x-y|<0
f(x) \geqslant 0,"(-\infty, a)"
2 e^{-1},\left\{a_{n}\right\}
n=k+1,\left\{a_{n}\right\}
\frac{5}{12},\frac{1}{3}
a=1,F_{1}
\triangle A B C,\triangle B C
C-P A D,"(-\infty, a)"
F,\frac{1}{3}
f^{\prime}(x),f(x)
S_{100}=,a_{i}=
\left|P F_{1}\right|,\left\{a_{n}\right\}
\left\{a_{2 n}\right\},\left\{a_{n}\right\}
\left\{b_{n}\right\},\left\{a_{n}\right\}
"[-2,2]",60^{\circ}
x=a,-\frac{\pi}{3}
\sqrt{3},\sqrt{3}
P_{n},c_{m}
\text { CA },A D_{1}
f(x)=,"(0,1)"
"(\bar{x}, 0)","(0,1)"
\overrightarrow{O Z},\sqrt{3}+1
b=2,"(-\infty, a)"
f(x) \geqslant 0,60 \sim 65
f(x)=,"(-\infty, a)"
z_{1},S_{5}
\frac{25}{8},\frac{\pi}{3}
y=\mid x-1,y=x
y=x+4,a_{n}\right\}
c>1,c_{1}
Q-A C-D,60 \sim 65
f\left(x_{2}\right),f(x)
P A I),\left\{a_{n}\right\}
y^{\prime},A C=4
f(x),(x)
x^{2},\left\{a_{n}\right\}
f(x) \geqslant 0,60 \sim 65
f(x),f(x)
x_{10},\left\{a_{n}\right\}
"\{3,4\}",\left\{a_{n}\right\}
a=\mathrm{e},c<\frac{1}{4}
a<c<b,\ln |x-y|<0
n \geqslant 2,c<\frac{1}{4}
f(c),"(0,1)"
|z|=2,S_{2}
\frac{16}{81},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(-\infty, 2]","(-\infty, a)"
\alpha,T_{n}
\left\{b_{m}\right\},\left\{a_{n}\right\}
"(-3,1)","(-\infty, a)"
"i=1, S=0",x+4 i
n \in,z=
p_{4}: z,\left\{a_{n}\right\}
"P, Q",(\rho \geqslant 0)
A B=2,A C=4
\triangle A B C,\triangle A B C
"(1,+\cdots)",\left\{a_{n}\right\}
12+2 \sqrt{3},60 \sim 65
f^{\prime}(x),f(x)
a>1,\sqrt{3}+1
\triangle A B C,\triangle A B C
\triangle A B C,\triangle A B C
"(0,-\sqrt{2})","(-\infty, a)"
"[0,2)","(0,1)"
\triangle A B D,\triangle A B C
t=,z=
"T(t, 0)","(-\infty, a)"
"x \in(0,1]","[60,70]"
|O F|,"\{2,3}"
\left\{a_{n}\right\},\left\{a_{n}\right\}
b=\ln 2,\left\{a_{n}\right\}
\triangle M A B,\triangle B C C
t<0,>0
\frac{\ln x}{x},-\frac{\pi}{3}
l: x=2,c_{m}
"[0,1]","[60,70]"
B=4 A,y=\sin x
\sqrt{3},\sqrt{3}+1
"x, y \in S",\left\{a_{n}\right\}
A_{2} B,c_{1}
q=,z=
-16,"[0,1]"
S_{m+n}=0,\left\{a_{n}\right\}
f(x),f(x)
l_{1},-\frac{3}{2}
x+b y=0,\sqrt{3}+1
a_{3},-\frac{3}{2}
S_{6}=,\sqrt{3}+1
"(0,1]","[1,3]"
c_{m},\left\{a_{n}\right\}
x+y=0,A D_{1}
"x>0, y>0",-\frac{3}{2}
a+b+c=M,\ln |x-y|<0
f(x)=,"(0, a)"
"(1, f(1))","(-\infty, a)"
x \in,a_{i}=
\triangle A B C,\triangle A B C
"B, D",\left\{a_{n}\right\}
A D \perp D E,"[1,3]"
2 a,\left\{a_{n}\right\}
c_{n},T_{n}
c>b>0,c<\frac{1}{4}
g(b),"(-\infty, a)"
\lambda),y)
"P(3,2)",60 \sim 65
"m=2, n=1",\ln |x-y|<0
2 p=8,a_{n}\right\}
"(1,2)","(-\infty, a)"
B_{1},\sqrt{3}
2^{3}-1,\left\{a_{n}\right\}
"B(3,0)","(-\infty, a)"
a>0,y+5=0
\left\{a_{n}\right\},\left\{a_{n}\right\}
"x \in(0,+\infty)",\ln |x-y|<0
f(\sqrt{6})=1,\sqrt{3}+1
"x \in[0,1]",\ln |x-y|<0
f^{\prime}(x),f(x)
C_{2},S_{5}
|O A|-,"[60,70]"
x^{2}+,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
-\frac{1}{27},c<\frac{1}{4}
a,S_{5}
1: 3: 2,\left\{a_{n}\right\}
n \subset \alpha,c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{r}{h},\frac{1}{3}
a_{1}>0,"[0,1]"
a_{12}=5,a_{i}=
\triangle A B C,\triangle A B C
"[1,+\infty)","[0,1]"
"(0,3)","(0,1)"
x=1,"[1,3]"
"[-6,9]","[0,1]"
\xi,\sqrt{3}+1
f(2 \pi)<0,60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
P C \perp A B,\ln |x-y|<0
P=P-T,"[1,3]"
a>10,"[1,3]"
B=2 C,\triangle B C Q
T=T+1,A C=4
\triangle A B C,\triangle A B C
4 \sqrt{7},c<\frac{1}
\overrightarrow{A I} \perp,\boldsymbol{e}_{1}
\sin 2 \alpha=,\ln |x-y|<0
A D \perp C D,"(-\infty, a)"
\triangle A B C,\triangle A B C
A=,A D_{1}
a \perp b,A C=4
\frac{4}{27},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
1+a,y+5=0
\triangle A B C,\triangle A B C
\boldsymbol{B}_{1},\boldsymbol{F}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
a_{1}=,\left\{a_{n}\right\}
y=f(x),A C=4
A B=A E,A B=2
\sqrt{7},\sqrt{3}
B C=a,\left\{a_{n}\right\}
A \in \alpha,"(-\infty, a)"
a_{1}=9 d,\left\{a_{n}\right\}
p_{2},\boldsymbol{F}_{1}
f(x)+,"(0,1)"
m \subset \alpha,"(-\infty, a)"
g(2)=a,"(-\infty, a)"
"A B, A D",c_{m}
|O P|=2,\ln |x-y|<0
\triangle A B C,\triangle A B C
y=1,A C=4
f(-1)=2,y=\sin x
\frac{\pi}{12},\boldsymbol{F}_{2}
\frac{5}{3},\frac{\pi}{3}
A C_{1},\triangle B C C
A E-D,c<\frac{1}{4}
5+4 \sqrt{3},\ln |x-y|<0
\cos A,\ln |x-y|<0
"x \in(0,+\infty)",\ln |x-y|<0
\frac{4}{3},\frac{\pi}{3}
S_{n},\sqrt{3}+1
f(x)=,"(0, a)"
x=1,"[1,3]"
C_{2},"(0,1)"
D_{1} P M,\left\{a_{n}\right\}
m<4,c<\frac{1}{4}
"(b, f(b))","(-\infty, a)"
0),"(0,1)"
\bar{z}=,-\frac{3}{2}
A_{1} B,\boldsymbol{F}_{1}
x>0,y)
\frac{\pi}{6},-\frac{3}{2}
\theta,T_{n}
"\{0,1,2\}","[1,3]"
1-\sqrt{2},"[1,3]"
y=1-x,y=\sin x
"(p, p+2)",\left\{a_{n}\right\}
\left\{b_{n}\right\},\left\{a_{n}\right\}
\frac{\pi}{3},\frac{\pi}{3}
"0, r>0)","(-\infty, a)"
a \neq b,\left\{a_{n}\right\}
90.5,"(-\infty, a)"
x+2=0,\left\{a_{n}\right\}
(x-b),"(-\infty, a)"
b=6,a_{i}=
a>0,A C=4
a_{1},\boldsymbol{F}_{1}
y=x+\ln x,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
P_{1},T_{n}
f(x),(x)
\triangle A B C,\triangle A B C
b_{1}=1,A C=4
a=3,a_{i}=
2 f(x),(x)
l_{1},A_{1}
1.75 a,\ln |x-y|<0
x>x_{a},c<\frac{1}{4}
y=4 x-3,y=\sin x
|z|,\triangle B C
"[-1,2]",c<\frac{1}{4}
y=x^{3},\left\{a_{n}\right\}
3-i,a_{i}=
\frac{\pi}{6},\frac{16}{3}
f(x) \neq x,y=\sin x)
S_{S},\frac{\pi}{3}
x>,y=\sin x
y^{2}=2 x,\left\{a_{n}\right\}
f(x),f(x)
\alpha,S_{5}
a=0,\boldsymbol{e}_{1}
\alpha \perp,a_{i}=
S_{n},-\frac{\pi}{6}
f(x)+a,A C=4
A D=1,\ln |x-y|<0
"(A, B","(-\infty, a)"
X>5,c<\frac{1}{4}
\sin 2 \alpha>0,"(-\infty, a)"
A B=2,\triangle B P Q
x-2 y+1=0,x+y+8=x y
a_{1}=,a_{i}=
\triangle A B C,\triangle A B C
x=\theta,80 \%
"(0,2]","(0,1)"
"A(-2,4)",\ln |x-y|<0
D D_{1},"(-\infty, a)"
y=f(x),f(x)
\left\{b_{n}\right\},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{\pi}{3},\frac{16}{3}
a_{n}=,\left\{a_{n}\right\}
24 \sqrt{3},a_{i}=
f(m),"(-\infty, a)"
S_{n},\left\{a_{n}\right\}
f(x),f(x)
k>0,\sqrt{3}+1
"M(0, t)",60 \sim 65
\sin B=m \sin C,\ln |x-y|<0
B F,\sqrt{3}
P-B C-A,y=\sin x
C_{1},"\{2, a_{1}"
240^{\circ},60 \%
\left\{a_{n}\right\},\left\{a_{n}\right\}
1-\mathrm{i},c<\frac{1}{4}
\triangle A B C,\triangle A B C
"E, F",\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
g(x)=a x-,\left\{a_{n}\right\}
k<6 ?,\sqrt{3}+1
|\overrightarrow{F B}|,\boldsymbol{F}_{1}
"[0,4]","[0,1]"
C_{2},\frac{\pi}{3}
"x \in[0,1]",\ln |x-y|<0
a>0,>0
a \in \mathbf{R},\triangle B C
f(x),f(x)
A D=B C,A C=4
-1+i,"[1,3]"
g(2),"(0, B C"
-2,\sqrt{3}
a_{4},-\frac{3}{2}
f(x)=,P(\mu-
f(x),(x)
A A_{1},\boldsymbol{e}_{1}
"(e,+\infty)",\left\{a_{n}\right\}
a_{2}+1,\left\{a_{n}\right\}
y=x^{2},y=\sin x
2 \beta,60 \sim 65
\alpha / / \beta,m / / n
a>5,\sqrt{3}
"c=(1, \lambda)","(-\infty, a)"
f(x)=\sin x,\ln |x-y|<0
a_{2}=3,\sqrt{3}
i \geqslant 5 ?,S_{5}
\sqrt{3} \pi,\sqrt{3}+1
"[0,+\infty)",\ln |x-y|<0
\left\{b_{n}\right\},\left\{a_{n}\right\}
A \cap I,A C=4
f(x),f(x)
a=,\sqrt{3}
R^{2},F_{1}
N=16,\triangle B C
S A=A C,-\frac{3}{2}
g(x),f(x)
"O A, O B","(-\infty, a)"
m+n,\left\{a_{n}\right\}
|r|,"[0,1]"
a_{n} \geqslant 3,c<\frac{1}{4}
x=\frac{\pi}{2},-\frac{\pi}{3}
"(-\infty, 2)","(-\infty, a)"
\text { 2) },S_{5}
g(x)=,g(x)
\frac{\pi}{12},\frac{16}{3}
2 x>0,60 \sim 65
\sqrt{3},\sqrt{3}
a<b<c,S_{5}
x \in \mathbf{R},S_{5}
\in \mathbf{R},x \in
a_{m n}=0,\ln |x-y|<0
\ln |x-y|>0,\ln |x-y|<0
a>b>0,c<\frac{1}{4}
a>c>b,A C=4
C_{2},T_{n}
f^{\prime}(x),(x)
z=x+2 y,c<\frac{1}{4}
\left\{b_{n}\right\},\left\{a_{n}\right\}
3 \sigma),"(-\infty, a)"
n=n+1,M \cup N=
2 \sqrt{3},\sqrt{3}
h(x),f(x)
"a<0, \varphi(x)",60 \sim 65
7: 30,\sqrt{3}+1
\{1\},T_{n}
3+2 \sqrt{2},\ln |x-y|<0
A \cup B,"(x, y)"
\frac{5}{9},\frac{16}{3}
m=0,a_{i}=
"(2,+\infty)",\ln |x-y|<0
\frac{7}{2},\frac{\pi}{3}
f(x),f(x)
x>1,c<\frac{1}
\frac{3}{40},\frac{16}{3}
-\mathrm{e}^{2},-\frac{\pi}{6}
x \neq 0^{\prime},\triangle B C
"\{1,-1\}",A C=x)
f(x),f(x)
\left\{b_{n}\right\},\left\{a_{n}\right\}
\theta=\alpha_{0},"(-\infty, a)"
x=\frac{\pi}{4},-\frac{\pi}{6}
\pi,T_{n}
"a>0, b>0",\sqrt{3}+1
B=,\sqrt{3}
"[0,2]","(-\infty, a)"
"A(1,0)","(-\infty, a)"
x^{2} \geqslant 1,-\frac{\pi}{6}
\frac{\pi}{6},\frac{16}{3}
\sqrt{3},\sqrt{3}
P \notin \alpha,\triangle B C C
f(x),f(x)
f(x),f(x)
2 a_{7},\left\{a_{n}\right\}
x O y,80 \%
E(\xi)=1,\ln |x-y|<0
3 x-y=,c<\frac{1}{4}
n \in,x \in
"[0,2 \pi]",\ln |x-y|<0
x=12,"\{2,3,4\}"
A B C D,\triangle A B C
f(x-1)<,\ln |x-y|<0
\frac{2 \pi}{3},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
k_{1}=9,A D_{1}
|z-i|=1,x_{1}
y=x,c<\frac{1}
\triangle A B C,\triangle A B C
"[1,+\infty)",a_{i}=
k x-2,a_{n}\right\}
\sin B=m \sin C,\ln |x-y|<0
x=1,"[0,1]"
k(2 x+,\left\{a_{n}\right\}
a=0,"[0,1]"
-1,c<\frac{1}{4}
f(x),f(x)
"A C=6,",60 \sim 65
"(-\infty, 4]",c<\frac{1}{4}
a>0,>0
a_{5}=,a_{i}=
g(0)=-a,A C=4
3 \cos \alpha+7,\ln |x-y|<0
f(x),f(x)
y=f(x),y=\sin x
S_{2},\frac{1}{3}
a_{2}=2,"(-\infty, a)"
\frac{1}{2},\frac{1}{3}
a_{7}=1,a_{i}=
P-A B C D,\ln |x-y|<0
S-A B C D,\ln |x-y|<0
a_{n},\left\{a_{n}\right\}
A \cap B,60 \sim 65
"F_{1}(-1,",c<\frac{1}{4}
\lambda=0,A D_{1}
B_{1},F_{1}
90^{\circ},60 \sim 65
\sqrt{3},\sqrt{3}
m \subset \beta,"(-\infty, a)"
y=2 x,y=\sin x
A \cap B=,A C=4
a x+y-1=0,\ln |x-y|<0
\triangle O P Q,\triangle A B C
\bar{x},\frac{16}{3}
"[-2,+\infty)",\ln |x-y|<0
\triangle O A B,\triangle A B C
\frac{\pi}{3},\frac{\pi}{3}
S_{n},T_{n}
2+3 \sqrt{2},\left\{a_{n}\right\}
A_{1},c_{m}
\beta,60 \sim 65
\pm \sqrt{2},\sqrt{3}+1
-\frac{2}{3},\frac{\pi}{3}
f(x) \geqslant 0,60 \sim 65
a<f(x),S_{5}
\triangle B O C,\triangle A B C
"(-\infty,-2)",60 \sim 65
m \neq n,\left\{a_{n}\right\}
\frac{1}{y},-\frac{3}{2}
W_{n},c_{1}
\left.a_{n}\right\},\left\{a_{n}\right\}
"[1,3]","[t,1]"
4 \sqrt{3},c_{m}
